BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
21	15810000	15820000	21	16120000	16130000	0.02514561695830094	2.599207668339954
21	15910000	15920000	21	16100000	16110000	0.0363788635472256	2.111212657236631
21	18760000	18770000	21	18940000	18950000	0.0003254481324900619	2.111212657236631
21	19050000	19060000	21	19280000	19290000	8.952136600015592e-06	2.599207668339954
21	19060000	19070000	21	19150000	19160000	0.02514561695830094	2.111212657236631
21	26260000	26270000	21	26680000	26690000	0.008131574139647105	2.111212657236631
21	26270000	26280000	21	26750000	26760000	0.009522669423051938	2.111212657236631
21	26790000	26800000	21	26870000	26880000	0.0008769971270447462	2.111212657236631
21	26790000	26800000	21	26940000	26950000	0.0005975748976780141	2.599207668339954
21	26980000	26990000	21	27080000	27090000	0.0010841174107357285	2.111212657236631
21	27250000	27260000	21	27540000	27550000	0.019701985060277087	2.111212657236631
21	30460000	30470000	21	30740000	30750000	0.0005975748976780141	2.599207668339954
21	30570000	30580000	21	30670000	30680000	0.04289027888227721	2.111212657236631
21	30850000	30860000	21	31220000	31230000	0.010146041358671542	2.111212657236631
21	32200000	32210000	21	32450000	32460000	0.025882092938175127	2.599207668339954
21	32470000	32480000	21	32550000	32560000	0.007513346766855851	2.111212657236631
21	32470000	32480000	21	32970000	32980000	0.0027465689896536334	2.111212657236631
21	32570000	32580000	21	32960000	32970000	0.0005772492438660087	2.111212657236631
21	33770000	33780000	21	33970000	33980000	0.008131574139647105	2.111212657236631
21	34200000	34210000	21	34530000	34540000	0.0008330667100122646	3.6758347359905126
21	34570000	34580000	21	34820000	34830000	0.0013324432534239385	2.599207668339954
21	34580000	34590000	21	34730000	34740000	0.003377471962396953	3.2
21	34730000	34740000	21	34810000	34820000	0.014389093578327378	2.599207668339954
21	35280000	35290000	21	35600000	35610000	0.030801049418844248	3.2
21	35290000	35300000	21	35720000	35730000	4.244323703102756e-05	2.111212657236631
21	35300000	35310000	21	35440000	35450000	0.0033009393901418786	3.2
21	35440000	35450000	21	35720000	35730000	0.04215313126233388	2.599207668339954
21	35760000	35770000	21	35990000	36000000	0.0008446927942051818	3.2
21	36100000	36110000	21	37210000	37220000	0.0013324432534239385	2.111212657236631
21	36160000	36170000	21	36770000	36780000	0.017363064258135323	3.2
21	36280000	36290000	21	36760000	36770000	0.0066895275986866565	2.111212657236631
21	37510000	37520000	21	37700000	37710000	4.6931535952698944e-05	2.111212657236631
21	37510000	37520000	21	37760000	37770000	0.007544663333078194	2.111212657236631
21	37860000	37870000	21	37960000	37970000	0.04849324989331855	2.599207668339954
21	37800000	37810000	21	38290000	38300000	0.03632501283373801	2.599207668339954
21	37860000	37870000	21	38290000	38300000	0.049012466612053725	2.111212657236631
21	38350000	38360000	21	38450000	38460000	0.037361616101572494	2.111212657236631
21	39060000	39070000	21	39500000	39510000	0.014516178476732233	2.599207668339954
21	39070000	39080000	21	39740000	39750000	0.0330635635151021	2.111212657236631
21	39530000	39540000	21	39720000	39730000	7.292402346491058e-05	2.111212657236631
21	40090000	40100000	21	40500000	40510000	0.004298667339440199	3.2
21	42650000	42660000	21	42830000	42840000	0.006435743978370955	2.599207668339954
21	43230000	43240000	21	43530000	43540000	0.0023454077881995827	2.111212657236631
21	43570000	43580000	21	43680000	43690000	0.0009708457487161557	2.111212657236631
21	43570000	43580000	21	43870000	43880000	0.002221763354946612	2.111212657236631
21	43570000	43580000	21	43960000	43970000	0.03632501283373801	2.111212657236631
21	43720000	43730000	21	43860000	43870000	0.00621778615256579	2.111212657236631
21	44010000	44020000	21	44230000	44240000	0.022850100432670897	2.111212657236631
21	44330000	44340000	21	44530000	44540000	0.00020261146458126303	2.599207668339954
21	44340000	44350000	21	45060000	45070000	0.026246492094487574	3.2
21	44600000	44610000	21	45050000	45060000	0.0004295453009217007	2.599207668339954
21	44600000	44610000	21	44910000	44920000	0.006435743978370955	2.111212657236631
21	44610000	44620000	21	44990000	45000000	0.012313843774017674	2.111212657236631
21	45230000	45240000	21	45380000	45390000	0.014104354742352072	3.2
21	45550000	45560000	21	45720000	45730000	0.00036159825060893733	2.111212657236631
21	45570000	45580000	21	45650000	45660000	7.292402346491058e-05	2.111212657236631
21	45760000	45770000	21	46220000	46230000	0.0016655506829761262	2.111212657236631
21	45920000	45930000	21	46200000	46210000	0.008538865552189993	2.111212657236631
21	46370000	46380000	21	46550000	46560000	0.00018198930245252876	2.111212657236631
21	46710000	46720000	21	46850000	46860000	0.007697161682139508	2.111212657236631
21	46880000	46890000	21	47240000	47250000	0.0038855830449115144	2.599207668339954
21	46980000	46990000	21	47230000	47240000	0.00036159825060893733	2.599207668339954
